year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1967,0,1,4,2,7,-0.03141182713753718,0.20069186100630515,178000.0,-0.031354586494441186,-0.4932654773905722,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9395918596190329,-0.9510197602102742
1975,0,1,4,2,7,-0.03176767277867108,0.016264767627880053,172500.0,-0.03176301860682335,-0.4926034366184275,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1962,2,1,3,2,7,-0.016338249374283263,0.14431259411860006,150000.0,-0.016297092280581394,-0.8460005924145397,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1945,0,1,3,3,7,0.05060160163834636,1.347388814654544,170000.0,0.05098576331335841,-0.8951619137460641,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1957,0,1,3,1,7,-0.03141182713753718,-0.28856550588361013,125000.0,-0.03149409099179921,-0.609687001471103,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1984,0,1,3,2,7,-0.033192145222658856,-0.13662815952521848,162000.0,-0.033231085465739385,-0.198565141918766,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1950,0,1,3,2,7,-0.03259870586095163,-0.481592826414397,111200.0,-0.03273600798195126,-0.5146329276966466,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1948,1,1,3,1,7,-0.03283602711166191,-0.3745677774072281,63000.0,-0.03294281250049567,-0.4230992280883443,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1964,0,1,4,2,7,-0.030343472804546353,0.6373922841873428,106000.0,-0.030161714054141562,-0.5158722926147199,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
2001,2,1,3,2,7,-0.03307334836237219,0.057354741800275284,245000.0,-0.03305697731376327,-0.15769861952351608,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-0.9395918596190329,-0.9510197602102742
1989,0,1,4,3,7,-0.028681951579711346,1.390389950416353,310000.0,-0.028285487552564763,-0.5256814091841322,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1950,0,1,3,1,7,-0.030580794055256634,-0.20160765356528534,100000.0,-0.030638263596874327,-0.6540489510622565,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1971,0,1,3,2,7,-0.03194804782800542,-0.46057004893084597,95900.0,-0.03207935595337152,-0.6002606408467329,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.9395918596190329,-0.9510197602102742
1940,2,2,4,4,7,-0.02666431224387939,2.6766017000917945,375000.0,-0.025901105020572527,-0.4950561783076991,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
2004,2,1,3,2,7,-0.032242587749954685,0.7702180146515971,320000.0,-0.032022954721041226,-0.17774473797124526,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,-0.9395918596190329,-0.9510197602102742
1971,0,1,3,2,7,-0.032123790889668026,0.06213264577380961,120000.0,-0.032106057986068956,-0.42263367299541355,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1994,2,1,4,2,7,-0.03110802324024446,0.3698296616694204,283000.0,-0.031002555614389308,-0.4911766444084065,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1994,0,1,4,2,7,-0.030580794055256634,0.42238660537829803,284500.0,-0.03046034086879857,-0.5344445479252778,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1989,0,1,2,2,7,-0.03354799086379275,-0.19778533038645787,160000.0,-0.03360436898406065,-0.03936054629121348,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
