year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1945,0,1,3,3,7,0.050679013909361796,1.3391762466646857,170000.0,1.339176246662386,-0.895639308420647,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1957,0,1,3,1,7,-0.03139125557208107,-0.290235024127805,125000.0,-0.2902350241301047,-0.6103568069386291,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1984,0,1,3,2,7,-0.03317280753484435,-0.1389053558707921,162000.0,-0.13890535587309186,-0.1995120445307045,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1950,0,1,3,2,7,-0.03257895688058992,-0.4824903259386012,111200.0,-0.48249032594090097,-0.5153667998436636,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1948,1,1,3,1,7,-0.03281644261055117,-0.3758933269147934,63000.0,-0.37589332691709315,-0.42389479417400666,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1964,0,1,4,2,7,-0.03032216079920154,0.6320193692121036,106000.0,0.6320193692098038,-0.5166053294267342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
2001,2,1,3,2,7,-0.03305392834051243,0.05430170485985952,245000.0,0.054301704857559786,-0.15867306627205222,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-0.9374444454955034,-0.9488561038216801
1989,0,1,4,3,7,-0.028659488030770182,1.38200539805818,310000.0,1.3820053980558802,-0.5264078346274551,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1950,0,1,3,1,7,-0.030559646529162793,-0.20362496242096115,100000.0,-0.2036249624232609,-0.6546888564666585,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1940,2,2,4,4,7,-0.02664045033804565,2.6630729041835846,375000.0,2.6630729041812846,-0.4958032452319495,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
2004,2,1,3,2,7,-0.032222591956296745,0.7643138590720079,320000.0,0.7643138590697082,-0.17870567358664813,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,-0.9374444454955034,-0.9488561038216801
