baths,type,lot_sqft,sqft,garage_2_or_more,community_security_features,farm,open_floor_plan,encoded_city,encoded_state,sold_price
2,7,-0.0324014376801086,-0.0668707615116172,0,0,0,0,1.3540048986229187,1.3674914650250012,433000.0
0,10,-0.0173540170237068,-1.6072670025790852,0,0,0,0,1.3540048986229187,1.3674914650250012,224825.0
3,7,-0.0114722100902018,1.043514121937761,1,0,0,1,1.3540048986229187,1.3674914650250012,810000.0
3,7,-0.0305867883922435,0.4606098371665727,0,0,0,0,1.3540048986229187,1.3674914650250012,599000.0
4,7,-0.0258335516314618,2.356482133864995,0,0,0,0,1.3540048986229187,1.3674914650250012,777000.0
3,7,-0.0328101424746728,0.6670152888232558,1,0,0,0,1.3540048986229187,1.3674914650250012,460000.0
3,4,-0.0348536664474938,-0.0592261151539623,0,0,0,0,1.3540048986229187,1.3674914650250012,289900.0
2,7,-0.0325458467075213,0.0076645404755182,0,0,0,0,1.3540048986229187,1.3674914650250012,625000.0
3,6,-0.0338586065076615,-0.0315142721074632,0,0,0,0,1.3540048986229187,1.3674914650250012,380000.0
2,7,-0.0306350155580021,0.1586463060392031,0,0,0,0,1.3540048986229187,1.3674914650250012,985000.0
2,7,-0.0332597177486934,-0.3917682317119517,0,0,0,0,1.3540048986229187,1.3674914650250012,555000.0
2,7,-0.0296454050154306,0.0296428987537761,0,0,0,1,1.3540048986229187,1.3674914650250012,452500.0
2,6,-0.0342651315433214,-0.4280803019108126,0,0,0,0,1.3540048986229187,1.3674914650250012,410000.0
3,7,-0.0241717579367638,2.0239400173070057,0,0,0,0,1.3540048986229187,1.3674914650250012,555000.0
4,6,-0.0342237161241389,1.2403637656473754,1,0,0,1,1.3540048986229187,1.3674914650250012,580000.0
3,6,-0.0345250677926642,-0.1566953562140627,0,0,0,1,1.3540048986229187,1.3674914650250012,370000.0
2,7,-0.0318115404266209,-0.5561281284015327,0,0,0,0,1.3540048986229187,1.3674914650250012,450000.0
2,4,-0.0348536664474938,-0.1003160893263575,0,0,0,0,1.3540048986229187,1.3674914650250012,372500.0
3,7,-0.0323060732280436,0.6861269047173931,0,0,0,0,1.3540048986229187,1.3674914650250012,700000.0
2,6,-0.0345223430940338,-0.5695062595274288,0,0,0,0,1.3540048986229187,1.3674914650250012,314000.0
4,4,-0.0348536664474938,0.4051861510735745,0,0,0,0,1.3540048986229187,1.3674914650250012,459900.0
3,6,-0.034574657307738,0.0611770649791027,0,0,0,0,1.3540048986229187,1.3674914650250012,365000.0
3,7,-0.0257760604903598,0.8734207404799389,1,0,0,0,1.3540048986229187,1.3674914650250012,565000.0
4,7,-0.0181796007087265,2.611622206051728,1,0,0,1,1.3540048986229187,1.3674914650250012,850000.0
2,7,-0.0326657334472601,-0.1490507098564077,0,0,0,0,1.3540048986229187,1.3674914650250012,450000.0
3,7,-0.0293225282277249,0.7176610709427197,1,0,1,0,1.3540048986229187,1.3674914650250012,1195000.0
2,4,-0.0348536664474938,-0.5599504515803602,0,0,0,0,1.3540048986229187,1.3674914650250012,219000.0
2,4,-0.0348536664474938,-0.3841235853542968,0,0,0,0,1.3540048986229187,1.3674914650250012,518444.0
2,4,-0.0348536664474938,-0.5016600231032413,0,0,0,0,1.3540048986229187,1.3674914650250012,395000.0
2,7,-0.0324014376801086,0.1701132755756854,0,0,0,0,1.3540048986229187,1.3674914650250012,430000.0
5,7,-0.0305309320703198,3.902611859700704,1,0,0,1,1.3540048986229187,1.3674914650250012,895000.0
3,7,-0.0324014376801086,0.3191838795499566,0,0,0,0,1.3540048986229187,1.3674914650250012,600000.0
2,4,-0.0348536664474938,-0.6363969151569094,0,0,0,0,1.3540048986229187,1.3674914650250012,287500.0
2,4,-0.0348536664474938,-0.2780541171418346,0,0,0,0,1.3540048986229187,1.3674914650250012,999999.0
3,6,-0.0342978279268865,0.3918080199476784,0,0,0,0,1.3540048986229187,1.3674914650250012,520000.0
1,7,-0.0321289678170658,0.858131447764629,0,0,0,0,1.3540048986229187,1.3674914650250012,430000.0
3,7,-0.0307589893456866,-0.0878935389951683,1,0,0,1,1.3540048986229187,1.3674914650250012,550000.0
2,4,-0.0348536664474938,-0.553261386017412,0,0,0,0,1.3540048986229187,1.3674914650250012,343000.0
2,7,-0.0330823398678526,-0.1165609628363743,0,0,0,0,1.3540048986229187,1.3674914650250012,420000.0
2,6,-0.0343561364775777,-0.3067215409830406,0,0,0,0,1.3540048986229187,1.3674914650250012,999999.0
1,4,-0.0348536664474938,-0.7873786807205942,0,0,0,0,1.3540048986229187,1.3674914650250012,230000.0
2,7,-0.0333106696130824,0.444364963656556,1,0,0,0,0.0137673849808069,0.4081592568226402,445000.0
0,10,-0.0329891551746919,-1.6072670025790852,0,0,0,0,0.4798492764185902,0.4081592568226402,410000.0
5,7,-0.0315303515279608,2.60493314048878,1,1,0,0,0.4798492764185902,0.4081592568226402,1206000.0
0,10,-0.0271389547452999,-1.6072670025790852,0,1,0,0,0.4798492764185902,0.4081592568226402,330000.0
2,7,-0.0323077080472219,0.2981611020664055,1,1,0,0,0.4798492764185902,0.4081592568226402,415000.0
1,2,-0.0346692043502138,-0.981361582046088,0,1,0,0,0.4798492764185902,0.4081592568226402,200000.0
0,9,-0.0223105163023184,-1.6072670025790852,0,0,0,0,0.4798492764185902,0.4081592568226402,1900000.0
2,7,-0.0329981466801723,-0.1012716701210644,0,0,0,0,0.4798492764185902,0.4081592568226402,359900.0
1,2,-0.0346490415803487,-0.9144709264166074,0,1,0,0,0.4798492764185902,0.4081592568226402,186000.0
1,7,-0.0330768904705917,-0.1318502555516841,0,0,0,0,0.4798492764185902,0.4081592568226402,675000.0
3,7,-0.0246464004381843,1.1667840444549469,1,0,0,0,0.4798492764185902,0.4081592568226402,1701500.0
2,7,-0.0315303515279608,0.409008474252402,1,1,0,0,0.4798492764185902,0.4081592568226402,525000.0
2,7,-0.0326722727239731,-0.446236337010243,1,0,0,0,0.4798492764185902,0.4081592568226402,385000.0
3,7,-0.031767672778671,0.9728011431294528,1,0,1,0,0.4798492764185902,0.4081592568226402,1038712.0
4,7,-0.0324341340636737,1.3884787888269396,1,0,0,0,0.4798492764185902,0.4081592568226402,690000.0
2,7,-0.0333474530445932,-0.3172329297248161,1,0,0,0,0.4798492764185902,0.4081592568226402,498000.0
2,7,-0.0335741479706448,-0.0305586913127563,1,1,0,0,0.4798492764185902,0.4081592568226402,500000.0
2,7,-0.0326690030856166,-0.5026156038979481,1,1,0,0,0.0127911000847225,0.4081592568226402,340000.0
2,7,-0.032977166500718,-0.2589425012476973,0,1,0,0,0.4798492764185902,0.4081592568226402,345000.0
1,1,-0.0348536664474938,-0.8733809522442122,0,1,0,0,0.4798492764185902,0.4081592568226402,28000.0
4,7,-0.0309369121662535,2.2293898881689818,1,1,0,0,0.4798492764185902,0.4081592568226402,1010000.0
4,7,-0.0332866922651347,1.3406997490915964,1,1,0,0,0.4798492764185902,0.4081592568226402,825000.0
2,7,-0.0328346647623467,0.4520096100142109,0,0,0,0,0.4798492764185902,0.4081592568226402,432000.0
3,7,-0.0327624602486403,1.0683592226001395,1,1,0,1,0.4798492764185902,0.4081592568226402,745000.0
3,7,-0.030106151553836,0.4969219073654336,1,0,0,1,0.4798492764185902,0.4081592568226402,700000.0
3,6,-0.0345634860433532,-0.2522534356847493,1,0,0,0,0.4798492764185902,0.4081592568226402,436000.0
3,7,-0.008742334532376,0.4338535749147805,1,0,0,0,0.4798492764185902,0.4081592568226402,625600.0
2,7,-0.0326602840499993,0.1060893623303254,1,0,0,0,0.4798492764185902,0.4081592568226402,827522.0
1,2,-0.0345485002008859,-0.6335301727727888,0,0,0,1,0.4798492764185902,0.4081592568226402,255000.0
2,1,-0.0321548524540549,2.5523761967799024,0,0,0,0,0.4798492764185902,0.4081592568226402,120000.0
0,9,-0.0348536664474938,-1.6072670025790852,0,0,0,0,0.4798492764185902,0.4081592568226402,485000.0
2,6,-0.0345231605036229,-0.5370165125073953,0,0,0,0,0.4798492764185902,0.4081592568226402,267000.0
1,7,-0.0327101460349361,-0.874336533038919,0,0,0,0,0.4798492764185902,0.4081592568226402,180000.0
2,7,-0.0324177858718912,0.4720768067030551,1,0,0,0,0.4798492764185902,0.4081592568226402,448000.0
2,7,-0.0310557090265402,-0.168162325750545,1,1,0,0,0.4798492764185902,0.4081592568226402,540000.0
1,2,-0.0346019042940423,-0.7873786807205942,0,1,0,0,0.0125446935837317,0.4081592568226402,271500.0
2,7,-0.0323186068417436,-0.1127386396575468,1,0,0,0,0.0127911000847225,0.4081592568226402,345000.0
2,7,-0.0323692862362695,-0.1920518456182167,0,0,0,0,0.4798492764185902,0.4081592568226402,350000.0
2,1,-0.0348536664474938,-0.3688342926389869,0,1,0,0,0.4798492764185902,0.4081592568226402,28000.0
2,7,-0.0336278245336642,-0.1528730330352352,1,0,1,0,0.4798492764185902,0.4081592568226402,470000.0
2,7,-0.0329060518664639,-0.3048103793936269,0,1,1,0,0.4798492764185902,0.4081592568226402,389900.0
5,7,-0.033218847269237,1.2881428053827186,1,0,0,0,0.4798492764185902,0.4081592568226402,1090000.0
2,4,-0.0348536664474938,-0.1882295224393892,1,0,0,0,-0.5865322348698783,-0.5776489623582272,220000.0
3,7,-0.0348536664474938,2.218878499427206,1,0,1,0,-0.5865322348698783,-0.5776489623582272,412000.0
4,7,-0.0323493959362674,0.9728011431294528,0,0,0,0,-0.5865322348698783,-0.5776489623582272,425000.0
2,7,-0.0348536664474938,-0.1356725787305116,1,0,0,0,-0.5865322348698783,-0.5776489623582272,292000.0
2,7,0.0297124271183068,-0.1796292952870274,0,0,1,0,-0.5865322348698783,-0.5776489623582272,275000.0
3,7,-0.0324442154486063,1.1486280093555163,1,0,0,0,-0.5865322348698783,-0.5776489623582272,325000.0
1,7,-0.0343768441871689,-0.781645195952353,0,0,0,0,-0.5865322348698783,-0.5776489623582272,35000.0
2,7,-0.0253586366601782,-0.4147021707849165,0,0,0,0,-0.5865322348698783,-0.5776489623582272,184900.0
4,9,-0.0321970852828265,-1.6072670025790852,0,0,0,0,-0.5865322348698783,-0.5776489623582272,345000.0
2,7,-0.0318507760868991,1.207874018627342,0,0,0,0,-0.5865322348698783,-0.5776489623582272,350000.0
1,7,-0.0328101424746728,-0.7472442873429058,0,0,0,0,-0.5865322348698783,-0.5776489623582272,60000.0
2,7,-0.0327172302513752,-0.0592261151539623,0,1,0,0,-0.5865322348698783,-0.5776489623582272,250000.0
2,7,-0.0266166300178469,-0.3554561615130908,0,0,0,0,-0.5865322348698783,-0.5776489623582272,164900.0
1,7,-0.0348536664474938,-0.8428023668135924,0,0,0,0,-0.5865322348698783,-0.5776489623582272,169900.0
5,7,-0.0348536664474938,1.8863363828692168,0,0,0,0,-0.5865322348698783,-0.5776489623582272,415000.0
2,7,0.043361532437573,-0.2656315668106454,0,0,0,0,-0.5865322348698783,-0.5776489623582272,195000.0
3,6,-0.0341654075734477,-0.1576509370087695,0,0,0,0,-0.5865322348698783,-0.5776489623582272,190000.0
2,7,-0.0229848792133493,0.9269332649835234,0,0,0,0,-0.5865322348698783,-0.5776489623582272,125000.0
2,7,-0.0286699629057374,0.2752271629934407,0,0,0,0,-0.5865322348698783,-0.5776489623582272,258000.0
1,7,0.025321030335646,0.0898444888203087,0,0,0,0,-0.5865322348698783,-0.5776489623582272,200000.0
3,7,0.0561204787142783,1.820401308034443,1,0,0,0,-0.5865322348698783,-0.5776489623582272,637500.0
2,1,0.0047879739266034,-0.4127910091955027,0,0,0,0,-0.5865322348698783,-0.5776489623582272,179000.0
3,7,-0.0317916501266188,0.430031251735953,1,0,0,0,-0.5865322348698783,-0.5776489623582272,318000.0
1,7,-0.0111160919792049,-0.4978376999244138,0,0,1,0,-0.5865322348698783,-0.5776489623582272,125000.0
1,7,-0.0348536664474938,-0.6516862078722193,0,0,1,0,-0.5865322348698783,-0.5776489623582272,125000.0
2,7,-0.0348536664474938,-0.3344333840295397,1,1,0,0,-0.5865322348698783,-0.5776489623582272,225000.0
1,7,-0.032639848810271,-0.6516862078722193,0,0,1,0,-0.5865322348698783,-0.5776489623582272,138000.0
3,7,-0.0315303515279608,0.5905688252467065,1,0,1,0,-0.5865322348698783,-0.5776489623582272,260000.0
3,7,-0.0324014376801086,-0.1232500283993223,0,0,0,0,-0.5865322348698783,-0.5776489623582272,133000.0
2,7,-0.0347348695872072,-0.1652955833664244,0,0,1,0,-0.5865322348698783,-0.5776489623582272,205500.0
2,7,0.0595031920639547,0.8055745040557514,1,0,1,0,-0.5865322348698783,-0.5776489623582272,405000.0
3,7,-0.0276375745946682,0.8275528623340093,0,0,1,0,-0.5865322348698783,-0.5776489623582272,293000.0
4,9,-0.0348536664474938,0.3325620106758526,0,0,0,0,-0.5865322348698783,-0.5776489623582272,215000.0
2,7,-0.0330733483623721,-0.0974493469422369,0,0,0,0,-0.5865322348698783,-0.5776489623582272,245000.0
4,7,-0.0307707055497974,1.628329568298363,0,0,0,0,-0.5865322348698783,-0.5776489623582272,340000.0
2,7,-0.0250382121012399,0.0726440345155851,0,0,0,0,-0.5865322348698783,-0.5776489623582272,175550.0
4,7,-0.0315897499581041,1.6722862848548787,0,0,0,0,-0.5865322348698783,-0.5776489623582272,430000.0
2,7,-0.0348536664474938,-0.2264527542276639,0,0,0,0,-0.5865322348698783,-0.5776489623582272,165000.0
2,7,-0.0328360271116619,-0.1977853303864579,0,1,0,0,-0.5865322348698783,-0.5776489623582272,253000.0
2,7,1.3260215868074567,1.6436188610136728,0,0,1,0,-0.5865322348698783,-0.5776489623582272,1000000.0
5,7,0.0103665219025418,2.153899005387139,1,1,0,0,-0.5865322348698783,-0.5776489623582272,665000.0
2,7,-0.0331507298034763,0.1987806994168914,0,0,0,0,0.924753644066775,0.937221951326348,492450.0
1,7,-0.0328482882554988,-0.7548889337005608,0,1,1,0,0.924753644066775,0.937221951326348,450000.0
2,4,-0.0348536664474938,-0.6488194654880987,0,1,0,0,0.924753644066775,0.937221951326348,318000.0
3,7,-0.0325213244198474,1.0244025060436237,1,0,0,0,0.924753644066775,0.937221951326348,570000.0
1,4,-0.0348536664474938,-0.7902454231047148,0,0,0,0,0.924753644066775,0.937221951326348,189000.0
3,7,-0.0321998099814569,1.626418406708949,1,1,1,0,0.924753644066775,0.937221951326348,675000.0
2,4,-0.0229848792133493,-0.2608536628371111,0,1,0,0,0.924753644066775,0.937221951326348,496000.0
0,10,-0.0322425877499546,-1.6072670025790852,0,0,1,0,0.924753644066775,0.937221951326348,750000.0
4,7,-0.0339899369816481,1.5518831047218138,1,1,0,0,0.924753644066775,0.937221951326348,1250000.0
1,7,-0.0333550822007584,-0.8523581747606611,0,1,0,0,0.924753644066775,0.937221951326348,360000.0
3,7,-0.0332501813034869,0.2379595119998729,1,0,0,0,0.924753644066775,0.937221951326348,480000.0
2,4,-0.0348536664474938,-0.6335301727727888,0,1,0,0,0.924753644066775,0.937221951326348,368000.0
1,4,-0.0348536664474938,-0.9249823151583828,0,0,0,0,0.924753644066775,0.937221951326348,310000.0
2,4,-0.0348536664474938,-0.6908650204552008,0,1,1,0,0.924753644066775,0.937221951326348,395000.0
2,7,-0.032613964173282,-0.0267363681339289,1,0,0,0,0.924753644066775,0.937221951326348,522500.0
1,4,-0.0348536664474938,-0.97467251648314,0,1,0,0,0.924753644066775,0.937221951326348,415000.0
3,7,-0.0320052664992444,0.9957350822024176,1,1,1,0,0.924753644066775,0.937221951326348,784000.0
1,4,-0.0348536664474938,-0.7940677462835423,0,0,0,0,0.924753644066775,0.937221951326348,328500.0
2,7,-0.0331921452226588,0.08028868087324,0,0,0,0,0.924753644066775,0.937221951326348,487000.0
2,7,-0.0327038792280861,-0.3162773489301093,0,0,0,0,0.924753644066775,0.937221951326348,525000.0
1,4,-0.0345659382721206,-1.0434743337020342,0,1,0,0,0.924753644066775,0.937221951326348,345000.0
3,4,-0.0348536664474938,0.8084412464398719,1,1,0,0,0.924753644066775,0.937221951326348,1500000.0
1,7,-0.0328101424746728,-0.8456691091977131,0,1,1,0,0.924753644066775,0.937221951326348,419000.0
2,4,-0.0348536664474938,-0.6125073952892378,0,1,0,0,0.924753644066775,0.937221951326348,555000.0
2,7,-0.0327828954883685,0.330650849086439,0,0,1,0,0.924753644066775,0.937221951326348,428000.0
1,4,-0.0348536664474938,-0.8638251442971435,0,0,0,0,0.924753644066775,0.937221951326348,225000.0
3,7,-0.0328591870500205,0.380341050411196,1,1,0,0,0.924753644066775,0.937221951326348,823500.0
4,7,-0.0336629731459968,1.7974673689614782,1,1,0,1,0.924753644066775,0.937221951326348,1550000.0
2,7,-0.0320052664992444,0.672748773591497,1,0,0,0,0.924753644066775,0.937221951326348,623000.0
1,4,-0.0348536664474938,-1.0014287787349323,1,0,0,1,0.924753644066775,0.937221951326348,219000.0
2,7,-0.0328360271116619,0.1357123669662383,0,1,0,0,0.924753644066775,0.937221951326348,390000.0
3,7,-0.0331643532966284,0.3182282987552497,1,1,1,1,0.924753644066775,0.937221951326348,765000.0
3,7,-0.0337419894062792,0.2952943596822849,0,1,0,0,0.924753644066775,0.937221951326348,718750.0
1,4,-0.0348536664474938,-0.781645195952353,0,1,0,0,0.924753644066775,0.937221951326348,174632.0
3,7,-0.03272840151576,0.5246337504119327,0,1,1,0,0.924753644066775,0.937221951326348,755000.0
4,7,-0.0336888577829858,1.7649776219414448,1,1,0,0,0.924753644066775,0.937221951326348,1125000.0
1,4,-0.0348536664474938,-0.57523974429567,0,0,0,0,0.924753644066775,0.937221951326348,466000.0
1,7,-0.0336956695295619,-0.4815928264143971,1,0,0,0,0.924753644066775,0.937221951326348,540000.0
3,7,-0.0320052664992444,0.8476200590228534,1,0,0,0,0.924753644066775,0.937221951326348,750000.0
5,4,-0.0339177324679418,2.091786253731193,1,1,0,0,0.924753644066775,0.937221951326348,1460000.0
3,7,-0.0331507298034763,0.0334652219326036,1,1,0,0,0.924753644066775,0.937221951326348,779000.0
2,4,-0.0348536664474938,-0.4634367913149667,0,1,0,0,0.924753644066775,0.937221951326348,485000.0
2,4,-0.0348536664474938,-0.6287522687992545,0,0,0,0,-0.5012461312252986,-0.4921605451412505,200000.0
3,6,-0.033785584584366,0.1051337815356185,0,0,0,0,-0.5012461312252986,-0.4921605451412505,284900.0
2,7,-0.0320052664992444,-0.3688342926389869,0,0,0,0,-0.5012461312252986,-0.4921605451412505,415000.0
2,7,-0.0235783185750566,-0.439547271447295,1,0,0,0,-0.5012461312252986,-0.4921605451412505,194628.0
2,7,-0.0283258334687144,0.8619537709434565,1,0,0,0,-0.5012461312252986,-0.4921605451412505,520000.0
2,7,-0.0196615642938163,-0.5408388356862228,0,0,0,0,-0.5012461312252986,-0.4921605451412505,68000.0
2,6,-0.0339041089747896,-0.7204880250911136,0,0,0,0,-0.5012461312252986,-0.4921605451412505,145000.0
2,6,-0.0335479908637927,-0.0324698529021701,1,0,0,0,-0.5012461312252986,-0.4921605451412505,350000.0
2,7,-0.0296315090524155,-0.1624288409823039,1,0,0,0,-0.5012461312252986,-0.4921605451412505,169500.0
2,7,-0.0329545515020855,-0.2589425012476973,1,0,0,0,-0.5012461312252986,-0.4921605451412505,297000.0
3,7,-0.0086235376720893,0.9412669769041264,1,0,0,0,-0.5012461312252986,-0.4921605451412505,570000.0
3,7,-0.0339041089747896,0.0821998424626538,1,0,0,1,-0.5012461312252986,-0.4921605451412505,460000.0
2,7,-0.0331921452226588,-0.0554037919751348,1,0,0,0,-0.5012461312252986,-0.4921605451412505,312000.0
2,7,-0.0331921452226588,0.201647441801012,1,0,0,0,-0.5012461312252986,-0.4921605451412505,425000.0
2,6,-0.0344975483364969,-0.4854151495932245,0,0,0,0,-0.5012461312252986,-0.4921605451412505,244500.0
2,7,-0.0329545515020855,0.0229538331908281,1,0,0,0,-0.5012461312252986,-0.4921605451412505,299000.0
2,7,-0.0334294664733691,-0.5675950979380151,0,0,0,0,-0.5012461312252986,-0.4921605451412505,59000.0
1,7,-0.0327172302513752,-0.7950233270782492,0,0,0,0,-0.5012461312252986,-0.4921605451412505,79000.0
4,7,-0.0273762759960102,1.527993584854142,1,0,0,1,-0.5012461312252986,-0.4921605451412505,660000.0
4,7,-0.0323611121403783,1.2269856345214794,1,0,0,0,-0.5012461312252986,-0.4921605451412505,570000.0
0,10,-0.0158636068728627,-1.6072670025790852,0,0,0,0,-0.5012461312252986,-0.4921605451412505,60000.0
0,10,0.0254398271959326,-1.6072670025790852,0,0,0,0,-0.5012461312252986,-0.4921605451412505,55000.0
2,7,-0.0318864696389577,-0.4127910091955027,0,0,0,0,-0.5012461312252986,-0.4921605451412505,228000.0
3,4,-0.0346163451967835,-0.4519698217784842,0,0,0,0,-0.5012461312252986,-0.4921605451412505,151000.0
3,7,-0.0252398397998916,0.7243501365056677,1,0,0,0,-0.5012461312252986,-0.4921605451412505,430000.0
2,7,-0.0314118271375371,-0.5207716389973787,0,0,0,0,-0.5012461312252986,-0.4921605451412505,172000.0
3,7,-0.032123790889668,-0.1624288409823039,0,0,0,0,-0.5012461312252986,-0.4921605451412505,185000.0
2,7,-0.0315303515279608,-0.2197636886647158,0,0,1,0,-0.5012461312252986,-0.4921605451412505,295000.0
2,7,-0.031767672778671,-0.1232500283993223,1,0,0,0,-0.5012461312252986,-0.4921605451412505,282000.0
