property_id,year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,sold_date,last_update_date,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
8846541030,1998,2,1,3,2,7,-0.03136916508530734,-0.17884430194002757,129900.0,2024-01-16,2021-04-13 00:00:00,-0.1788443019400276,-0.569100605398107,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.9349385575363943,-0.9468996309891766
7727981021,1945,1,2,4,2,7,-0.03280760913781511,-0.24403995975021503,88500.0,2024-01-16,2024-01-16 00:00:00,-0.24403995975021509,-0.3235616738888318,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7320925131,1969,0,1,3,2,7,-0.029810736030524195,0.24602627704771107,145000.0,2024-01-16,2021-04-13 00:00:00,0.2460262770477111,-0.5904495018969974,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7231604965,1955,0,1,3,2,7,-0.03193303955700973,-0.21254093406664132,65000.0,2024-01-16,2024-01-16 00:00:00,-0.21254093406664135,-0.50757692623866,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7700690979,1984,0,1,3,2,7,-0.03160885989489874,0.05996226487032208,169000.0,2024-01-12,2024-01-12 00:00:00,0.0599622648703221,-0.4561300142165815,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.9349385575363943,-0.9468996309891766
8798505230,1999,0,1,3,2,7,-0.031129470275715936,-0.18030937290205423,180000.0,2024-01-12,2024-01-14 00:00:00,-0.18030937290205426,-0.5940285656404484,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7117799851,2001,0,1,4,2,7,-0.031129470275715936,0.12149524527544285,260000.0,2024-01-12,2024-01-15 00:00:00,0.12149524527544288,-0.5018835394370454,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-0.9349385575363943,-0.9468996309891766
8922976627,1962,0,1,3,2,7,-0.031009485273440558,-0.00010564457277199912,60000.0,2024-01-12,2024-01-14 00:00:00,-0.00010564457277199123,-0.5518594028289879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8224034280,1965,2,1,3,2,7,-0.03148887489262337,-0.0638362314209328,159000.0,2024-01-12,2024-01-14 00:00:00,-0.0638362314209328,-0.5163020672793514,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
9099119141,1974,0,2,3,3,7,0.1691816382935921,1.1844042282258027,424900.0,2024-01-12,2024-01-13 00:00:00,1.184404228225803,-0.9114016199588216,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
9371305836,1956,0,0,0,0,10,0.9004186764725737,-1.2615317428777477,370000.0,2024-01-12,2024-01-12 00:00:00,-1.261531742877748,-0.9241403585439016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7788790816,1969,0,1,3,2,7,-0.03064980546157378,-0.10705582480072,140000.0,2024-01-12,2024-01-13 00:00:00,-0.10705582480072,-0.6144018814990415,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7502373005,1954,0,1,3,1,7,-0.030889500271165184,0.010149852161414794,149900.0,2024-01-12,2024-01-13 00:00:00,0.010149852161414804,-0.5609501844605653,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
9066470079,1966,0,1,2,1,7,-0.03340698375927329,-0.21107586310461462,45000.0,2024-01-12,2024-01-12 00:00:00,-0.21107586310461465,0.005913457649802563,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7582727824,2006,2,1,4,2,7,-0.031009485273440558,0.3016989736047251,310000.0,2024-01-11,2024-01-11 00:00:00,0.30169897360472514,-0.46278869797733607,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.9349385575363943,-0.9468996309891766
7012948010,1986,0,1,3,2,7,-0.03268762413553973,-0.05284819920573266,147000.0,2024-01-10,2024-01-10 00:00:00,-0.05284819920573266,-0.2553377397782183,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7474045814,1968,2,1,5,2,7,-0.0300504308401156,0.3969285861364596,195000.0,2024-01-10,2024-01-16 00:00:00,0.39692858613645965,-0.5377320052716034,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8160653135,1968,2,1,3,2,7,-0.029930721032799572,0.021870419857628276,136000.0,2024-01-09,2024-01-09 00:00:00,0.021870419857628286,-0.632774508464344,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7315920123,1958,0,1,3,1,7,-0.03148887489262337,-0.5575651456239256,31500.0,2024-01-09,2024-01-10 00:00:00,-0.5575651456239257,-0.6844262313847378,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8656536510,1967,0,1,4,2,7,-0.031129470275715936,0.12442538719949621,178000.0,2024-01-08,2024-01-08 00:00:00,0.12442538719949625,-0.5009889275321581,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9349385575363943,-0.9468996309891766
8182935020,1975,0,1,4,2,7,-0.03148887489262337,-0.016953960636078874,172500.0,2024-01-08,2024-01-09 00:00:00,-0.016953960636078867,-0.5003377549607391,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9349385575363943,-0.9468996309891766
7463846561,1962,2,1,3,2,7,-0.015905134734710648,0.08120579381970901,150000.0,2024-01-08,2024-01-09 00:00:00,0.08120579381970904,-0.847933468630167,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
9438857823,1945,0,1,3,3,7,0.051704212487788496,1.0034679644155071,170000.0,2024-01-08,2024-01-09 00:00:00,1.0034679644155073,-0.8962877473584944,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8163998846,1957,0,1,3,1,7,-0.031129470275715936,-0.2506327790793351,125000.0,2024-01-05,2024-01-05 00:00:00,-0.2506327790793352,-0.6154992513577461,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8965792046,1984,0,1,3,2,7,-0.032927594140090485,-0.13415963759821367,162000.0,2024-01-05,2024-01-06 00:00:00,-0.1341596375982137,-0.21112645482442138,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8210500445,1950,0,1,3,2,7,-0.0323282195186323,-0.3986049462440303,111200.0,2024-01-05,2024-01-08 00:00:00,-0.39860494624403037,-0.5220056052745251,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
7793345485,1948,1,1,3,1,7,-0.0325679143282237,-0.31656097237053593,63000.0,2024-01-05,2024-01-08 00:00:00,-0.316560972370536,-0.43197454215383846,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8352509580,1964,0,1,4,2,7,-0.0300504308401156,0.4591941020225937,106000.0,2024-01-05,2024-01-05 00:00:00,0.4591941020225938,-0.5232246245171221,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9349385575363943,-0.9468996309891766
8426516593,2001,2,1,3,2,7,-0.03280760913781511,0.01454506504749485,245000.0,2024-01-05,2024-01-06 00:00:00,0.01454506504749486,-0.17093080586634102,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-0.9349385575363943,-0.9468996309891766
